@relation temperature_byhour

@attribute READING_DATE numeric
@attribute 'Forge Hallway - Temperature' numeric
@attribute 'Forge Room - Temperature' numeric
@attribute 'IT Closet-Temperature' numeric
@attribute 'Temp South Wall' numeric
@attribute 'Temperature North Wall' numeric
@attribute TimeOfDay numeric

@data
3,18.55833,20.1,24.8,6.76667,8.46667,0
3,18.49167,20.025,24.79167,6.96667,8.70833,1
3,18.50833,20.01667,24.78333,7.06667,8.96667,1
3,18.55833,20.03333,24.8,7.10833,9.04167,1
3,18.64167,20.05,24.79167,7,8.95,1
3,18.69167,20.03333,24.8,6.01667,6.1,2
3,18.96667,20.01667,24.76667,5.04167,3.50833,2
3,18.76667,19.96667,24.76667,4.55833,2.875,2
3,18.64167,19.80833,24.61667,4.65833,2.40833,2
3,18.525,19.63333,24.53333,4.98333,1.75,2
3,18.08333,19.40833,24.35,4.54167,0.68333,2
3,18.50833,20.26667,24.475,3.85,-0.49167,2
6,18.38333,20.14167,24.45833,3.6,-1.54167,0
6,18.225,20.09167,24.45833,3.13333,-2.66667,0
6,18.21667,19.84167,24.49167,2.8,-3.41667,0
6,18.38333,20.34167,24.475,2.475,-4.1,0
6,18.38333,20.30833,24.43333,2.21667,-5.03333,0
6,18.45833,20.225,24.35833,1.66667,-5.33333,0
6,18.29167,19.325,24.23333,0.64167,-5.69167,0
6,18.575,20.25833,24.36667,0.70833,-5.68333,0
6,18.125,19.70833,24.30833,-0.00833,-5.24167,0
6,18.81667,20.55,24.43333,1.53333,-4.7,1
6,0,0,0,3.05,-4.36667,1
6,0,0,0,4.88333,-3.65833,1
6,0,0,0,5.55,-3.3,0
6,0,0,0,5.91667,-2.18333,1
6,0,0,0,6.25,-1.925,1
6,0,0,0,5.44167,-1.84167,1
6,0,0,0,3.84167,-1.875,1
6,0,0,0,2.54167,-2.04167,2
6,0,0,0,0.10833,-3.46667,2
6,0,0,0,-1.3,-4.36667,2
6,0,0,0,-2.48333,-4.76667,2
6,0,0,0,-3.88333,-4.85833,2
6,0,0,0,-5.375,-4.65,2
6,0,0,0,-5.58333,-5.43333,2
1,0,0,0,-5.99167,-5.81667,0
1,0,0,0,-6.09167,-7.03333,0
1,0,0,0,-7.925,-7.65833,0
1,0,0,0,-8.75,-8.10833,0
1,0,0,0,-8.98333,-8.66667,0
1,0,0,0,-9.93333,-9.3,0
1,0,0,0,-10.08333,-9.28333,0
1,20.53333,22.95,24.63333,-6.55,-9.30833,0
1,21.575,22.86667,25.725,1.225,-8.625,0
1,21.69167,22.63333,26.18333,5.325,-7.2,1
1,21.56667,22.25,28.10833,9.58333,-5.48333,1
1,22.05833,22.26667,30.825,11.78333,-3.79167,1
1,22.825,22.46667,31.50833,12.95,-3.00833,0
1,23.85833,23.775,30.43333,12.03333,-1.94167,1
1,24.84167,24.25833,30.4,11.875,-0.69167,1
1,25.55833,24.78333,30.53333,6.74167,0.08333,1
1,25.48333,25.9,30.84167,3.78333,0.525,1
1,25.25,25.25833,31.06667,1.28333,-0.03333,2
1,23.1,24.15833,30.71667,-1.76667,-1.9,2
1,21.18333,22.875,29.93333,-3.425,-3.08333,2
1,20.06667,21.9,29.06667,-4.41667,-3.03333,2
1,19.38333,21.2,28.30833,-5.49167,-3.46364,2
1,18.94167,20.68333,27.78333,-6.375,-4.5,2
1,18.59167,20.29167,27.43333,-6.85833,-4.48333,2
4,18.29167,19.96667,27.09167,-6.64167,-4.5,0
4,18.025,19.65833,26.8,-6.45833,-4.65,0
4,17.9,19.475,26.525,-6.025,-4.04167,0
4,17.78333,19.3,26.29167,-5.89167,-4.00833,0
4,17.71667,19.21667,26.14167,-6.36667,-4.06667,0
4,17.79167,19.10833,26.00833,-6.03333,-3.86667,0
4,18.3,19.15833,26.04167,-5.34167,-3.275,0
4,20.55833,22.64167,26.59167,-3.525,-3.05,0
4,21.45,22.725,27.625,2.00833,-1.74167,0
4,21.58333,21.80833,28.00833,2.69167,-0.25833,1
4,21.825,21.85833,28.35,2.18333,0.93333,1
4,22.84167,23.61667,28.80833,6.26667,2.075,1
4,23.23333,23.00833,29.29167,8.00833,2.89167,0
4,24.01667,23.25833,29.78333,7.725,2.63333,1
4,25.10833,24,29.93333,7.2,2.74167,1
4,25.96667,24.35833,30.125,3.45833,2.99167,1
4,25.65,24.59167,30.325,2.19167,2.925,1
4,24.55,24.36667,30.35,1.20833,2.275,2
4,22.69167,23.66667,30.05,0.125,1.25,2
4,21.325,22.78333,29.46667,-0.45,0.7,2
4,20.54167,22.15,28.85,-0.54167,0.61667,2
4,19.95,21.66667,28.325,-0.35,1.05,2
4,19.60833,21.26667,27.91667,-0.35,0.75,2
4,19.4,20.975,27.69167,-0.3,0.9,2
7,19.15833,20.68333,27.49167,-0.625,0.76667,0
7,19,20.45833,27.23333,-1,0.40833,0
7,18.80833,20.25833,27.01667,-1.25,0.34167,0
7,18.61667,20.03333,26.84167,-0.9,0.61818,0
7,18.53333,19.96667,26.675,-0.53333,1.05,0
7,18.61667,19.86667,26.6,-0.29167,1.07273,0
7,19.15833,19.95,26.625,0.775,1.55,0
7,20.88333,22.70833,27.075,1.15,2.16667,0
7,21.41667,22.475,27.76667,1.90833,2.96667,0
7,21.99167,23.71667,28.175,2.45,3.44167,1
7,21.96667,22.61667,28.55,2.86667,3.95833,1
7,22.09167,22.475,28.85,1.43636,3.68333,1
7,22.05833,22.43333,28.95,1.14545,3.16667,0
7,22.66667,23.66667,29.11667,0.51667,2.55,1
7,22.74167,24.225,29.45833,0.60833,2.15833,1
7,22.73333,24.01667,29.35,0.51667,2.30833,1
7,22.43333,23.45833,29.30833,0.325,1.89167,1
7,21.63333,23.4,28.90833,0.35,1.73333,2
7,21.49167,22.93333,28.875,0.35833,1.925,2
7,20.84167,22.25,28.45833,0.51667,2.15455,2
7,20.28333,21.85833,28.11667,1.25,2.56667,2
7,19.8,21.46667,27.70833,1.66667,3.49167,2
7,19.5,21.125,27.38333,1.95833,4.24545,2
7,19.25833,20.86667,27.18333,2.08333,3.89167,2
2,19.075,20.66667,26.98333,2.25,4.075,0
2,18.99167,20.45833,26.81667,2.40833,4.275,0
2,18.93333,20.375,26.675,2.65833,4.58333,0
2,18.875,20.29167,26.56667,2.73333,4.75,0
2,18.825,20.24167,26.49167,2.85833,4.74167,0
2,18.96667,20.28333,26.49167,2.78333,4.46667,0
2,19.30833,20.35833,26.58333,2.76667,4.4,0
2,20.95455,22.73636,27.02727,2.79167,4.43636,0
2,21.06667,21.71667,27.58333,3.07778,4.83333,0
2,21.98182,23.5,27.99091,3.49167,5,1
2,21.53333,22.61667,28.25833,3.73333,5.29167,1
2,21.49167,22.44167,28.39167,4.2,5.75833,1
2,21.44167,22.35833,28.4,4.45833,5.96667,0
2,21.8,23.31667,28.46667,4.325,5.825,1
2,21.7,23.21667,28.79167,4.35833,5.775,1
2,21.49167,23.39167,29.25833,4.63333,5.775,1
2,21.60833,22.79167,29.30833,5.28333,6.425,1
2,21.49167,22.65833,29.2,5.125,6.40833,2
2,21.10833,22.51667,28.45833,4.93333,6.725,2
2,20.625,22.09167,27.90833,4.73333,6.3,2
2,20.2,21.725,27.44167,4.49167,6.075,2
2,19.88333,21.39167,27.05,4.54167,5.74167,2
2,19.56667,21.15,26.775,3.95833,5.425,2
2,19.30833,20.84167,26.55,4.08333,4.66667,2
5,19.03333,20.6,26.35,3.4,4.71667,0
5,18.95833,20.4,26.14167,4.88333,4.29167,0
5,18.74167,20.13333,25.95833,3.43333,4.54167,0
5,18.71667,20.09167,25.83333,3.25833,4.8,0
5,18.625,20.025,25.73333,3.40833,4.14167,0
5,18.525,20,25.68333,3.03333,4.475,0
5,19.13333,20.05,25.7,3.39167,4.78333,0
5,20.88333,22.78333,26.33333,5.46667,5.35,0
5,21.31667,22.66667,26.91667,2.80833,5.49167,0
5,21.05833,22.1,27.225,2.75833,5.325,1
5,21.05,22.58333,27.35,3.7,5.975,1
5,21.16667,22.16667,27.41667,5.01667,6.875,1
5,21.025,22.19167,27.46667,4.99167,6.825,0
5,21,22.225,27.475,5.1,6.78333,1
5,20.85,22.23333,27.50833,3.99167,6.25833,1
5,20.825,22.1,27.525,3.60833,5.75833,1
5,20.75833,21.93333,27.43333,3.25833,5.19167,1
5,21.825,24.025,27.64167,2.8,5.05833,2
5,21.6,23.85833,27.89167,2.525,4.06667,2
5,20.06667,21.9,27.275,2.46667,3.75833,2
5,19.50833,21.36667,26.775,1.79167,3.775,2
5,19.01667,20.81667,26.3,1.75833,3.1,2
5,18.75,20.49167,25.975,1.50833,2.89167,2
