"READING_DATE","Forge Hallway - Temperature","Forge Room - Temperature","IT Closet-Temperature","Temp South Wall","Temperature North Wall"
"-1","20.86319","22.32465","26.69375","2.27014","1.17882"
"-1","20.32222","21.6316","26.05069","0.88993","-2.1441"
"-1","20.11319","21.6191","25.86528","-2.42396","-3.2375"
"-1","20.20208","21.70729","26.20243","1.87049","3.0059"
"-1","18.65035","20.12118","24.89757","4.55417","5.33993"
"-1","18.36316","20.05439","24.4","1.57188","-3.83624"
"-1","22.14755","22.97157","29.02941","-0.6691","-4.82997"
"-1","21.08785","21.85938","28.18299","-0.21701","-0.36354"
"-1","20.65347","21.95451","27.98819","0.71608","2.25775"
"-1","20.405","21.78964","27.64679","3.78561","5.32474"
"-1","20.04201","21.54063","26.73924","3.31389","4.87431"
"-1","18.27609","19.5337","24.8413","2.7413","4.43406"
"-1","18.21111","19.37188","24.48264","2.89757","2.67396"
"-1","20.98403","21.70972","26.58715","4.69688","1.09375"
"-1","20.78542","21.80938","28.96701","5.73646","4.00451"
"-1","20.71285","21.50938","33.11632","6.54271","7.66563"
"-1","20.56007","21.42257","31.04583","10.61875","10.52222"
"-1","21.19514","22.04653","27.28958","13.77431","10.31701"
"-1","19.89931","20.47014","25.64931","8.05451","3.39236"
"-1","18.76007","19.61493","24.64132","3.50732","2.5554"
"-1","20.53021","21.26944","26.50347","6.40243","6.56771"
"-1","20.47222","21.87396","27.25278","6.84063","5.00139"
"-1","20.2122","21.67178","26.92892","-1.53972","-0.68432"
"-1","20.81563","21.72708","26.20972","2.60972","-2.41458"
"-1","20.04792","21.23576","25.23715","2.15174","-2.92847"
"-1","19.10208","19.65556","24.95347","0.90556","-3.57596"
"-1","19.24306","19.7184","24.83472","1.46736","-2.89236"
"-1","20.97396","21.67951","26.39896","2.96215","-0.59375"
"-1","20.86771","21.56528","26.43924","6.22257","2.67535"
"-1","21.33659","22.18223","26.95889","7.30836","4.93681"
"-1","20.59514","22.06111","27.20104","4.89861","5.01458"
"-1","20.90799","22.29861","28.90625","9.26424","7.2059"
"-1","20.1625","20.52396","28.17813","10.92396","7.08819"
"-1","19.4566","19.96493","27.6691","9.50556","7.18056"
"-1","20.62569","21.48333","27.61632","8.66319","9.4441"
"-1","20.15556","21.25868","27.2684","5.95","5.4684"
"-1","20.25521","21.53333","29.74271","6.55972","7.30764"
"-1","21.01761","22.18979","30.29437","8.94754","7.24296"
"-1","20.90382","21.74618","28.83507","7.57153","8.60069"
"-1","21.40903","21.72882","26.97778","12.18958","10.50313"
"-1","20.73819","21.44514","26.9191","10.4","12.17882"
"-1","22.81771","23.78056","28.75278","15.72049","15.75382"
"-1","22.99091","23.50769","28.62657","14.93229","10.11638"
"-1","22.60868","23.47465","28.30451","10.64792","10.19792"
"-1","22.61944","22.98021","27.79097","13.91285","10.15347"
"-1","21.27882","22.05104","27.52951","6.85347","5.41632"
"-1","19.20938","20.16875","27.12222","5.01979","6.37083"
"-1","18.28819","19.0434","25.97465","4.87951","6.16667"
"-1","20.06285","21.06285","27.23681","4.10972","3.35871"
"-1","19.76319","20.78646","27.44097","4.59965","0"
"-1","20.22326","21.3934","27.36979","5.03194","0"
"-1","20.51007","21.49306","27.67222","6.98229","0"
"-1","20.67257","21.47257","28.63264","6.16493","0"
"-1","20.95208","21.37118","28.74792","12.93438","0"
"-1","20.77986","21.36736","28.85729","11.18125","0"
"-1","20.56319","21.3625","28.27431","11.40208","0"
"-1","21.08472","21.92153","28.15208","10.7191","0"
"-1","22.52639","22.89861","28.18125","15.98854","0"
"-1","21.82292","22.69896","28.4566","13.13785","0"
"-1","20.51632","21.57292","26.93889","10.96076","0"
"-1","21.26736","21.55069","26.77951","14.26979","0"
"-1","20.36076","20.96285","26.32569","11.62813","0"
"-1","22.04618","22.51146","27.38333","13.60972","0"
"-1","21.32431","22.33542","28.00694","8.95556","0"
"-1","22.07569","22.20521","30.55417","13.27049","0"
"-1","23.10625","23.32465","30.75799","16.07882","0"
"-1","22.34618","23.05139","28.29375","13.53611","14.85876"
"-1","22.32118","22.57569","27.50313","16.42361","14.14618"
"-1","22.97465","23.05451","27.77951","16.98229","13.86875"
"-1","24.09236","24.17951","28.90729","17.78993","15.47292"
"-1","23.3191","23.62431","28.5941","17.23472","15.80694"
"-1","24.05833","24.01493","29.14028","18.40627","16.9566"
"-1","24.0375","24.34375","30.41007","17.45764","17.44861"
"-1","24.43264","24.30347","30.43576","20.87569","20.34688"
"-1","23.78229","24.41771","31.3125","17.45799","17.70313"
"-1","20.74861","21.34514","28.38056","13.32049","11.425"
"-1","20.91146","21.51771","27.59826","11.22188","10.5934"
"-1","21.35","21.8934","27.08125","11.65347","11.92986"
"-1","22.55556","22.89514","29.03542","15.01672","15.82613"
"-1","22.98958","22.71632","29.19375","18.50764","18.93576"
"-1","22.94132","22.26424","28.07396","20.72431","20.03715"
"-1","25.83125","25.66528","31.01632","25.13715","22.35799"
"-1","25.77882","25.78229","31.10521","19.71364","21.36701"
"-1","23.87083","23.58333","29.66806","20.8566","21.7"
"-1","23.58924","23.62535","29.26319","21.91285","18.73681"
"-1","22.25451","22.49375","27.87813","15.68885","15.47604"
"-1","21.58502","21.60314","26.95645","16.80868","16.99443"
"-1","20.74757","21.05417","26.05104","14.5559","14.27778"
"-1","20.71979","20.98264","25.66424","16.03889","16.70035"
"-1","22.87431","22.81875","27.16875","20.70868","20.0684"
"-1","23.23264","22.5309","27.92361","23.97361","23.06979"
"-1","23.9125","23.18125","28.92326","28.12118","26.75139"
"-1","24.82118","24.3934","31.20174","27.64722","25.95139"
"-1","23.4547","22.97108","29.92125","21.12056","17.00279"
"-1","23.20938","22.47778","29.41979","22.67743","19.70243"
"-1","23.54549","23.75799","30.21458","17.04549","18.36597"
"-1","24.88542","24.46667","30.54444","22.85521","21.34063"
"-1","23.98125","23.13854","30.32014","25.54757","23.31528"
"-1","24.27118","23.56667","29.78056","27.12431","25.41181"
"-1","24.78611","24.09444","30.27743","29.93229","27.87951"
"-1","24.25382","23.75486","30.37118","26.05972","23.65278"
"-1","23.38229","23.05694","30.80035","21.12431","18.2809"
"-1","24.33681","24.32569","31.57569","20.67674","20.33889"
"-1","24.27951","24.37431","31.62951","20.60799","17.97986"
"-1","23.29722","23.34306","31.22083","20.41215","16.94826"
"-1","23.52222","23.02743","30.82292","21.68056","19.35729"
"-1","24.09306","23.62708","29.26319","25.24896","23.28785"
"-1","24.10382","23.69722","29.82396","23.90903","23.44479"
"-1","24.45104","23.87083","33.075","23.99583","23.73819"
"-1","26.38056","25.59306","38.92257","25.95208","24.33785"
"-1","26.47361","25.92465","39.12813","23.31701","21.92813"
"-1","24.42674","23.62535","33.0816","24.73576","23.0559"
"-1","24.50174","24.06701","29.06389","26.27326","25.28229"
"-1","24.62118","24.8059","30.325","21.06389","22.24167"
"-1","24.05278","24.0184","30.81354","22.93576","22.70208"
"-1","23.10938","23.20104","29.30313","22.50174","22.47639"
"-1","23.75729","24.03264","29.44063","21.39201","20.83958"
"-1","25.41493","25.47083","30.75486","23.5559","21.7875"
"-1","24.22292","24.02743","29.97951","24.43438","22.84028"
"-1","24.67396","24.34132","30.01285","25.24167","24.18681"
"-1","23.92222","23.55556","29.3566","21.64792","20.37153"
"-1","23.3934","22.57708","29.08785","24.38507","21.80556"
"-1","23.97813","23.01215","30.48438","26.51424","23.53507"
"-1","26.43021","26.01875","35.09236","25.88507","25.53299"
"-1","27.69861","26.95556","40.13507","29.85972","26.0934"
"-1","25.05799","24.08958","34.77222","28.46667","25.02882"
"-1","24.69549","24.07604","31.30868","28.60104","26.81667"
"-1","25.0434","24.31875","31.08889","28.04896","27.19132"
"-1","24.46424","23.86563","30.39132","26.40278","24.86042"
"-1","24.33507","23.64931","30.23368","28.44861","25.86875"
"-1","26.81424","26.60764","32.52326","27.53646","25.07604"
"-1","27.48785","27.44444","33.29444","28.45243","27.42674"
"-1","25.07778","24.2191","32.00104","30.52535","29.4559"
"-1","24.91146","23.91146","31.99063","31.26597","28.21493"
"-1","24.59028","23.90243","31.18056","27.72535","24.08924"
"-1","24.34132","23.75139","30.64306","27.04757","24.28681"
"-1","24.50938","23.60938","30.79479","27.53715","25.41424"
"-1","27.15903","26.47326","32.61389","29.71111","27.8059"
"-1","28.01215","27.05243","32.94583","33.32778","30.54896"
"-1","25.20625","24.03681","31.31042","32.44444","29.89618"
"-1","25.03611","24.16563","30.26493","30.23403","28.59375"
"-1","25.14688","24.17431","30.36979","33.08819","30.775"
"-1","25.3816","24.31111","30.84236","34.96424","33.17083"
"-1","25.10347","24.38993","30.66528","32.43194","29.57153"
"-1","27.76806","27.55799","32.86944","31.20278","28.49688"
"-1","28.06146","27.71701","32.9875","28.87292","27.04896"
"-1","25.1625","24.18611","31.78194","26.56111","26.21354"
"-1","24.5816","23.78507","31.58333","27.37674","24.44097"
"-1","24.37222","23.69514","31.21597","27.99167","24.46424"
"-1","24.58889","24.46875","31.40417","24.8566","24.95313"
"-1","24.76458","23.73715","31.52951","26.92049","26.99514"
"-1","27.19896","26.19583","34.00833","30.72639","27.07847"
"-1","27.73681","26.79063","34.70243","30.01875","28.20556"
"-1","25.1816","23.61042","32.76597","31.50208","28.76701"
"-1","24.68542","23.60174","32.47604","31.53264","26.94826"
"-1","24.24132","24.40208","32.52431","23.17604","23.1566"
"-1","24.05382","23.41944","30.87535","27.22708","24.14618"
